state,state_code,pollster,sponsor,sponsor_lean,date_start,date_end,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,margin_label,included_in_average,notes
Alaska,AK,AK Survey Research,,,2023-04-21,2023-04-25,Mary Peltola,Dan Sullivan,44,41,D+3,Peltola +3,no,n=1261 LV; April 2023 poll — too old for current average; NYT data
Alaska,AK,Data for Progress,,,2025-07-21,2025-07-27,Mary Peltola,Dan Sullivan,45,46,R+1,Sullivan +1,yes,n=678 LV; NYT data
Alaska,AK,AK Survey Research,,,2025-07-29,2025-08-01,Mary Peltola,Dan Sullivan,43,47,R+4,Sullivan +4,yes,n=1613 LV; earliest named-candidate poll; NYT data
Alaska,AK,Alaska Survey Research,,,2025-07-29,2025-08-01,Mary S. Peltola,Dan Sullivan,42.5,46.7,R+4.2,R+4.2,yes,n=1613 LV; NYT data
Alaska,AK,AK Survey Research,,,2025-10-10,2025-10-15,Mary Peltola,Dan Sullivan,48,46,D+2,Peltola +2,yes,n=1708 LV; NYT data
Alaska,AK,Alaska Survey Research,,,2025-10-10,2025-10-15,Mary S. Peltola,Dan Sullivan,47.7,45.9,D+1.8,D+1.8,yes,n=1708 LV; NYT data
Alaska,AK,Data for Progress,,,2025-10-17,2025-10-23,Mary Peltola,Dan Sullivan,46,45,D+1,Peltola +1,yes,n=823 RV; NYT data
Alaska,AK,The Tyson Group,Plymouth Union Public Advocacy,,2025-11-11,2025-11-13,Generic Democrat,Dan Sullivan,43.0,39.0,D+4,D+4,yes,n=600 LV; NYT data
Alaska,AK,AK Survey Research,,,2026-01-08,2026-01-11,Mary Peltola,Dan Sullivan,48,46,D+2,Peltola +2,yes,n=1681 LV; NYT data
Alaska,AK,Alaska Survey Research,,,2026-01-08,2026-01-11,Mary S. Peltola,Dan Sullivan,48.0,46.4,D+1.6,D+1.6,yes,n=1681 LV; NYT data
Alaska,AK,PPP,DSCC,Democratic,2026-01-16,2026-01-17,Mary Peltola,Dan Sullivan,49,47,D+2,Peltola +2,yes,n=611 RV; D-sponsored; NYT data
Alaska,AK,Public Policy Polling,DSCC,Democratic,2026-01-16,2026-01-17,Mary S. Peltola,Dan Sullivan,49.0,47.0,D+2,D+2,yes,n=611 RV; NYT data
Alaska,AK,Alaska Survey Research,,,2026-03-19,2026-03-22,Mary S. Peltola,Dan Sullivan,46.4,40.9,D+5.5,D+5.5,yes,n=1283 RV; NYT data
Alaska,AK,Alaska Survey Research,,,2026-04-16,2026-04-19,Mary S. Peltola,Dan Sullivan,50.2,43.6,D+6.6,D+6.6,yes,n=1946 LV; NYT data
Arkansas,AR,GrayHouse,America One Policies,Republican,2026-02-07,2026-02-09,Hallie Shoffner,Tom Cotton,36.0,58.0,R+22,R+22,yes,n=550 LV; NYT data
Florida,FL,The Tyson Group,Plymouth Union Public Advocacy,,2025-10-01,2025-10-03,Jennifer Jenkins,Ashley Moody,37.0,44.0,R+7,R+7,yes,n=800 LV; NYT data
Florida,FL,UNF,Florida Watch,Democratic,2025-10-15,2025-10-25,Jennifer Jenkins,Ashley Moody,38,49,R+11,Moody +11,yes,n=728 LV; D-sponsored; NYT data
Florida,FL,University of North Florida,Florida Watch,Democratic,2025-10-15,2025-10-25,Jennifer Jenkins,Ashley Moody,38.0,49.0,R+11,R+11,yes,n=728 LV; NYT data
Florida,FL,UNF,,,2026-02-21,2026-03-02,Alexander Vindman,Ashley Moody,38,45,R+7,Moody +7,yes,n=772 LV; NYT data
Florida,FL,UNF,,,2026-02-21,2026-03-02,Angie Nixon,Ashley Moody,38,46,R+8,Moody +8,yes,n=768 LV; NYT data
Florida,FL,University of North Florida,,,2026-02-21,2026-03-02,Angie Nixon,Ashley Moody,38.0,46.0,R+8,R+8,yes,n=768 LV; NYT data
Florida,FL,Emerson College,,,2026-03-29,2026-03-31,Alexander Vindman,Ashley Moody,38,46,R+8,Moody +8,yes,n=1125 LV; NYT data
Florida,FL,Emerson College,,,2026-03-29,2026-03-31,Angie Nixon,Ashley Moody,36,47,R+11,Moody +11,yes,n=1125 LV; NYT data
Florida,FL,Emerson College,,,2026-03-29,2026-03-31,Hector Mujica,Ashley Moody,38,45,R+7,Moody +7,yes,n=1125 LV; first Mujica poll; NYT data
Florida,FL,MDW Communications,EDGE Communications,,2026-03-27,2026-04-03,Alexander Vindman,Ashley Moody,42,43,R+1,Moody +1,yes,n=1834 LV; unrated pollster; D+10 outlier vs field; NYT data
Florida,FL,Public Policy Polling,,Democratic,2026-04-02,2026-04-03,Alexander Vindman,Ashley Moody,40,43,R+3,Moody +3,yes,n=574 RV; D-sponsored; NYT data
Florida,FL,Echelon Insights,NetChoice,,2026-04-03,2026-04-09,Alexander Vindman,Ashley Moody,43.0,50.0,R+7,R+7,yes,n=406 LV; NYT data
Florida,FL,Stetson University Center for Public Opinion Research,,,2026-03-25,2026-04-13,Angie Nixon,Ashley Moody,38.0,51.0,R+13,R+13,yes,n=414 LV; NYT data
Florida,FL,Cherry Communications,Florida Chamber of Commerce,Republican,2026-05-01,2026-05-09,Alexander Vindman,Ashley Moody,40.0,48.0,R+8,R+8,yes,n=604 LV; NYT data
Florida,FL,Change Research,Freedom Project USA,,2026-05-13,2026-05-16,Alexander Vindman,Ashley Moody,47.0,45.0,D+2,D+2,yes,n=1593 LV; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Buddy Carter,45,32,D+13,Ossoff +13,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Mike Collins,44,34,D+10,Ossoff +10,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,John King,47,31,D+16,Ossoff +16,yes,n=500 LV; R-sponsored; NYT data
Georgia,GA,WPA Intelligence,Club for Growth,Republican,2025-01-14,2025-01-15,Jon Ossoff,Rich McCormick,44,33,D+11,Ossoff +11,no,n=500 LV; R-sponsored; McCormick unlikely nominee; NYT data
